"","Chromosome","newSeg","dna_CNA","start","end","segLen","chr"
"1","chr1",0,2,1039596,248337884,247.298288,1
"2","chr2",0,2,239258,241872428,241.63317,2
"3","chr3",0,1,233206,70371789,70.138583,3
"4","chr3",1,2,70591867,197605859,127.013992,3
"5","chr4",0,2,273362,189437983,189.164621,4
"6","chr5",0,2,277208,116402458,116.12525,5
"7","chr5",1,3,116402458,181049896,64.647438,5
"8","chr6",0,2,582724,170391790,169.809066,6
"9","chr7",0,2,268619,159104981,158.836362,7
"10","chr8",0,2,484578,144823725,144.339147,8
"11","chr9",0,2,396778,137929763,137.532985,9
"12","chr10",0,2,289122,133375722,133.0866,10
"13","chr11",0,2,425368,134629230,134.203862,11
"14","chr12",0,2,269467,133024187,132.75472,12
"15","chr13",0,2,19530544,114114867,94.584323,13
"16","chr14",0,2,19826305,105472760,85.646455,14
"17","chr15",0,2,23577588,101622163,78.044575,15
"18","chr16",0,3,277485,31794765,31.51728,16
"19","chr16",1,2,46670861,80879421,34.20856,16
"20","chr16",2,3,80879421,89858355,8.978934,16
"21","chr17",0,2,374422,82983511,82.609089,17
"22","chr18",0,2,324382,80038176,79.713794,18
"23","chr19",0,2,501928,58342230,57.840302,19
"24","chr20",0,2,296193,64070457,63.774264,20
"25","chr21",0,2,14423085,46456912,32.033827,21
"26","chr22",0,2,17061844,50525535,33.463691,22
