"","Sample_SQ24023853-R24009771LD01-2021415KP.sorted"
"chr1-1039596-1264158",24200.93
"chr1-1264158-1522765",27113.33
"chr1-1830107-2065015",23833.55
"chr1-2065015-2290536",23623.78
"chr1-2290536-2500004",20163.58
"chr1-2831807-3040671",23047.45
"chr1-3040671-3246287",22403.21
"chr1-3246287-3455103",22840.71
"chr1-3455103-3664959",23605.22
"chr1-3664959-3887715",23753.08
"chr1-3887715-4111110",23704.37
"chr1-4111110-4332205",24825.48
"chr1-4332205-4543810",22809.99
"chr1-4543810-4756272",22751.38
"chr1-4756272-4973545",24305.87
"chr1-4973545-5194575",23810.38
"chr1-5194575-5405300",22940.1
"chr1-5405300-5616258",22772.95
"chr1-5616258-5836057",24743.43
"chr1-6047948-6268383",23203.9
"chr1-6268383-6507491",24728.95
"chr1-6507491-6748598",24370.53
"chr1-6748598-6966188",22495.81
"chr1-6966188-7180655",23316.89
"chr1-7180655-7395412",27826.63
"chr1-7395412-7616920",23907.77
"chr1-7616920-7833157",22710.01
"chr1-7833157-8070860",24436.97
"chr1-8070860-8313027",24346.27
"chr1-8313027-8535769",23364.21
"chr1-8535769-8764005",23877.19
"chr1-9012716-9247823",24051.36
"chr1-9247823-9470772",23336.23
"chr1-9720917-9967687",24050.9
"chr1-9967687-10225889",25511.62
"chr1-10225889-10467249",24205.39
"chr1-10467249-10686690",22678.52
"chr1-10686690-10901594",22575.45
"chr1-10901594-11146478",24778.06
"chr1-11146478-11383585",24804.18
"chr1-11383585-11601410",23424.48
"chr1-11601410-11830666",23024.13
"chr1-11830666-12071589",24120.96
"chr1-12071589-12300063",23421.15
"chr1-12300063-12519222",23073.45
"chr1-12519222-12749710",23690.47
"chr1-13487578-13725622",25178.35
"chr1-13725622-13942791",23119.21
"chr1-13942791-14160965",23153.28
"chr1-14160965-14380024",23878.05
"chr1-14380024-14601466",23664.82
"chr1-14601466-14815738",22470.23
"chr1-14815738-15037819",23435.69
"chr1-15037819-15256027",23329.4
"chr1-15256027-15487812",24466.42
"chr1-15487812-15728716",24340.03
"chr1-15728716-15972440",24426.59
"chr1-15972440-16207973",24956.12
"chr1-16207973-16452994",24590.72
"chr1-16968832-17194145",23722.48
"chr1-17194145-17418589",23739.49
"chr1-17418589-17655092",23805.49
"chr1-17655092-17867246",22784.56
"chr1-17867246-18078031",22706.77
"chr1-18078031-18286862",22753.67
"chr1-18286862-18496525",22745.55
"chr1-18496525-18712209",22884.3
"chr1-18712209-18923123",23063.43
"chr1-18923123-19137073",22751.84
"chr1-19137073-19362837",23839.77
"chr1-19362837-19593990",24189.71
"chr1-19593990-19820135",23332.71
"chr1-19820135-20057489",24897.87
"chr1-20057489-20274709",23543.67
"chr1-20274709-20485177",23176.26
"chr1-20485177-20719847",24518.18
"chr1-20719847-20948478",23772.7
"chr1-20948478-21179341",23730.18
"chr1-21179341-21432072",25941.99
"chr1-21432072-21673432",25154.25
"chr1-21673432-21906084",23945.12
"chr1-21906084-22164391",26353.7
"chr1-22164391-22379342",22825.99
"chr1-22379342-22592666",23120.14
"chr1-22592666-22805004",22622.85
"chr1-22805004-23031695",23864.45
"chr1-23031695-23261907",24179.93
"chr1-23261907-23493144",24086.86
"chr1-23493144-23738838",24579.72
"chr1-23738838-23987984",25138.49
"chr1-23987984-24222101",24049.77
"chr1-24222101-24441442",23381.43
"chr1-24441442-24673396",24517.31
"chr1-24673396-24915045",25416.95
"chr1-24915045-25126205",22710.57
"chr1-25445934-25676022",24436.65
"chr1-25676022-25896531",23191.58
"chr1-25896531-26127515",23715.04
"chr1-26127515-26362063",23704.56
"chr1-26362063-26609782",25140.26
"chr1-26609782-26856336",24556.92
"chr1-26856336-27105956",25114.34
"chr1-27105956-27354252",25050.03
"chr1-27354252-27586637",23878.62
"chr1-27586637-27824066",24164.04
"chr1-27824066-28064493",25134.73
"chr1-28064493-28313737",24790.11
"chr1-28313737-28578800",26101.95
"chr1-28578800-28842373",26019.06
"chr1-28842373-29081981",24368.75
"chr1-29081981-29315318",23992.68
"chr1-29315318-29532224",23248.67
"chr1-29532224-29745532",23534.86
"chr1-29745532-29956930",23001.55
"chr1-29956930-30170268",23358.05
"chr1-30170268-30384760",21332.51
"chr1-30384760-30617205",21700.18
"chr1-30617205-30828283",22846.4
"chr1-30828283-31050628",23308.96
"chr1-31050628-31304871",24797.51
"chr1-31304871-31536314",24433.66
"chr1-31536314-31749838",22761.07
"chr1-31749838-31982160",23786.61
"chr1-32226262-32474194",25168.7
"chr1-32474194-32733848",26193.93
"chr1-32733848-32968710",23855.27
"chr1-32968710-33200747",24318.98
"chr1-33200747-33422215",23386.51
"chr1-33422215-33634884",23049.92
"chr1-33853492-34060825",22517
"chr1-34060825-34284179",24466.64
"chr1-34284179-34491433",22266.43
"chr1-34491433-34713315",23289.19
"chr1-34713315-34924754",22576
"chr1-34924754-35180896",25588.74
"chr1-35180896-35416392",23724.26
"chr1-35416392-35640878",23312.46
"chr1-35640878-35880209",24546.79
"chr1-35880209-36110416",23757.35
"chr1-36110416-36351487",24272.52
"chr1-36351487-36579245",23292.77
"chr1-36579245-36791032",22871.01
"chr1-36791032-36996947",22435.07
"chr1-36996947-37206002",22594.19
"chr1-37206002-37429762",24090.62
"chr1-37429762-37658809",23629.46
"chr1-37658809-37885618",23384.07
"chr1-37885618-38124737",24021.38
"chr1-38124737-38337260",23229.83
"chr1-38337260-38554453",23142.74
"chr1-38775893-39021975",24766.12
"chr1-39021975-39265281",24487.39
"chr1-39265281-39490001",23746.94
"chr1-39490001-39734407",25225.32
"chr1-39734407-39981909",25232.93
"chr1-39981909-40220727",24295.19
"chr1-40220727-40457146",24473.56
"chr1-40457146-40695003",24248.35
"chr1-40695003-40915030",22973.33
"chr1-40915030-41144772",23761.42
"chr1-41144772-41368685",24239.02
"chr1-41368685-41579043",22880.91
"chr1-41579043-41785662",22175.4
"chr1-41785662-42003733",23662.47
"chr1-42003733-42222297",23735.32
"chr1-42222297-42448560",23549.33
"chr1-42448560-42679772",23942.13
"chr1-42679772-42908099",29888.18
"chr1-42908099-43145602",24800.73
"chr1-43145602-43368702",23937.34
"chr1-43368702-43587385",23160.6
"chr1-43587385-43813314",23587.18
"chr1-43813314-44028361",22950.39
"chr1-44028361-44254648",23368.84
"chr1-44254648-44467073",22801.99
"chr1-44467073-44687704",23762.59
"chr1-44687704-44932385",24519.9
"chr1-44932385-45186392",25947.94
"chr1-45186392-45429791",24703.96
"chr1-45429791-45678015",24872.41
"chr1-45678015-45922694",24768.39
"chr1-45922694-46154537",24360.67
"chr1-46154537-46404114",25257.06
"chr1-46404114-46618803",23036.14
"chr1-46618803-46865776",26031.7
"chr1-47197013-47431271",24440.01
"chr1-47431271-47643511",23065.09
